,collocate,raw_frequency,MI
154,There,558,2.566557160990501
327,seemed,552,1.6017679391715853
262,Mrs,547,1.6239540465816809
387,here,522,1.668171712658194
40,though,518,1.7073092764528592
267,life,516,1.7169808888390543
237,where,507,1.7089000168381812
91,shall,493,3.318390613207856
252,Undine,490,1.7741431769286389
238,yet,483,1.809098345228415
210,through,462,3.458161098966243
143,What,456,1.8494255976986513
244,half,453,2.876636360055471
384,take,448,2.885134944067188
292,A,432,2.9783322375297048
195,may,432,2.9441005287736175
282,till,426,1.9878468109446603
248,ever,425,3.585561419310352
196,white,423,3.572929380999432
243,knew,417,2.02810668733585
80,done,412,2.026868297028934
183,put,400,2.0816629462953937
20,better,394,3.0957102717933465
114,Miss,388,2.1130313395363483
53,once,387,2.12667050047283
231,poor,382,2.1557884189293475
76,being,379,2.137170154753867
18,round,375,3.181906994528678
159,side,364,2.211777890939299
120,hands,349,2.1847197426554854
2,world,340,10.733224725136406
382,enough,340,2.3195574326363033
17,give,338,3.3305294483832313
62,We,337,3.921477746749778
334,seen,337,2.3205449227476
136,That,332,3.307183216539856
226,every,331,2.3570178683954466
326,dead,320,3.378539673117941
290,lay,313,2.4104973695536405
106,people,310,2.4570031006115043
180,against,308,2.3876309928028396
39,another,304,2.31722217782876
268,morning,284,2.55962309468749
276,because,282,3.537572353745726
9,find,281,4.1614666648415275
308,When,274,2.61657456840809
146,This,272,4.610493578768032
221,Kester,266,2.656994198251125
346,Torpenhow,262,2.696952228236158
188,i,247,6.106760661050646
285,nor,241,2.81627902606997
245,whom,239,4.412498933022024
300,cried,237,2.843750925129663
340,brought,234,2.8546932264886697
306,used,233,2.8538379588764413
32,each,230,2.855013416099373
131,called,227,3.8655002857175864
257,wish,224,2.9047952473574945
380,keep,223,2.932227605965437
138,new,220,4.5361568155001475
174,n,214,2.991755246015796
170,hear,211,2.9610563148041216
259,feel,210,3.018869523739312
264,fire,207,3.038251342643333
12,dark,207,4.007090454742669
296,soon,204,3.0324725525931036
274,dear,203,3.035032398840562
117,next,201,3.0737931553714657
388,end,201,3.081437494880591
208,Why,197,3.1111305288634
203,towards,194,4.038464506715293
118,does,192,3.1322930665135384
8,cold,187,3.184407098946356
240,death,187,3.1355580047074287
155,hard,185,3.168619588799724
219,Monkshaven,178,3.1924215763941657
325,God,177,3.265432209140809
119,My,177,3.2655792910251553
339,across,175,3.236125972962281
179,part,170,3.283091237657989
369,really,169,3.290848690228831
239,says,168,3.2931244856963002
249,why,162,3.3933373310075976
128,strange,160,3.3516849638474766
254,ready,156,3.4139125052770614
135,need,154,3.465762499847283
374,Do,152,3.4852598204486367
186,th,152,5.799499668840199
233,Coulson,147,3.50493571612901
367,One,146,3.5422605444562234
149,sort,142,3.55767291876483
4,sense,140,3.590269382710133
45,fear,140,3.5711388509985826
371,understand,138,3.5156070873089944
386,four,135,3.654738040042844
352,use,132,3.6739700253085124
337,either,129,3.5926526787948463
61,whole,128,6.051636299113658
204,bright,119,3.8292722070388203
110,comes,118,3.8285456286394264
205,lost,117,3.8421420508184756
318,Not,115,3.8792444728999764
241,show,113,3.8987718795944932
