,collocate,raw_frequency,MI
32,seen,93,4.508523986461204
131,This,92,4.495882007361016
140,cried,92,3.5420088838261954
242,till,91,3.549902841152821
228,To,84,3.673253417104448
160,Feverel,83,3.6874341479824446
116,against,82,4.636485132672681
7,fair,74,3.825618923619799
205,husband,73,3.780451068443209
236,soft,69,3.8954429548998735
200,says,68,4.9303916514542845
229,Lord,67,3.9994649253379966
166,cannot,66,3.9633122349378556
22,yet,66,5.013706877783724
90,believe,63,4.078078306578722
183,things,63,4.048298154446635
191,because,61,4.07874358170185
192,given,61,4.132867093927097
169,called,58,4.171211904138466
16,found,57,4.23253030195174
230,Mountfalcon,54,4.265540364155025
26,pretty,54,4.303591688558584
188,All,53,4.334175976979025
231,new,51,4.393086962757475
141,comes,49,4.426651715771763
185,laughed,49,4.3985044454766244
72,By,47,5.510923453051333
137,arms,45,4.526882732312058
99,white,43,4.618443299279762
87,struck,42,4.652288822053288
38,keep,41,4.708027197236143
70,lay,37,5.826011740010383
47,Ricky,35,4.936229287784004
189,knows,33,4.996754837403269
115,fact,32,5.029038531539714
244,please,32,5.011036217142842
11,different,31,5.100993481889446
238,wished,31,5.056040745204248
198,fear,30,5.1285147405226805
175,seeing,29,6.171649189686376
247,small,29,5.15529399041423
108,whole,28,6.255135417107511
145,strong,27,5.281490915024053
112,laughing,26,5.316437763552233
190,feeling,25,5.403123731922401
184,opinion,25,5.395650415454377
226,seized,22,5.591236699147773
111,Just,19,5.795515900746435
41,fly,19,5.817618240235762
222,Because,19,6.770644185577937
232,hearing,18,5.823584815750148
92,trust,18,5.873518412747709
155,ancient,17,5.937341295558487
220,thrown,15,6.151286048181339
172,deceived,15,6.157517458468437
193,suffered,15,6.142366078945171
95,cries,15,6.1437861709711346
20,Nature,14,6.213098827383206
142,children,14,6.25625788280859
46,May,14,6.22808456838145
143,content,13,6.3508030049936535
234,wouldn,13,6.361002756921924
123,grey,13,6.364085493504881
68,rich,12,6.480616701133071
79,yesterday,12,6.425839225770909
73,degrees,11,6.590171754958721
173,somehow,11,6.577134510594133
181,shaking,10,6.679541294179625
67,calls,10,6.692213696963269
158,succeeded,10,6.728689529091143
164,beaten,10,6.689724563992552
246,breathing,10,6.67871057351998
135,Would,9,6.895662562334468
163,courage,9,6.864104952128095
107,Blood,9,6.895595665596957
223,refused,8,7.047928300001698
13,harsh,8,7.019996412567778
227,Once,7,7.257346008104953
132,indifference,7,7.235867703090405
44,acknowledge,7,7.218119987722554
126,stronger,7,7.228784553563389
156,search,6,7.434964867270858
214,publicly,6,7.480466178238834
215,condemned,6,7.471010360503636
157,fools,6,7.465486131036085
106,Cold,6,7.478574942009524
88,rendered,6,7.478842878385798
76,wrecked,5,7.74258038054552
199,wiser,5,7.719697049370813
125,mortals,5,7.690817882954275
83,wed,5,7.74098117690653
15,invariably,5,7.695278013025313
213,treats,4,8.004717720253298
212,admitted,4,8.012971480253201
211,rumour,4,8.063286207176812
71,outer,4,9.056578816379155
239,reform,4,8.052314897556231
225,clergyman,4,8.026411749889554
5,blackened,4,8.035123532235218
24,proclaim,4,8.034209425672971
29,unkind,4,8.047115442487309
224,declined,3,8.462593296436525
52,fancies,3,8.430738231281406
150,gaping,3,8.432295488699783
101,felling,3,8.460636076989232
165,clearer,3,8.445404767502655
207,prudent,3,8.474491132077414
91,awakening,3,9.432096599451969
104,devote,3,8.47452472179211
186,largely,3,8.450400141388144
206,scarcely,3,8.435223767393742
27,wisely,3,8.456611630965366
61,material,2,9.019935998744693
45,possesses,2,9.05065986894101
82,divorced,2,9.065554115795768
174,fortified,2,9.045530747625117
51,wondering,2,9.038058424015889
197,spurious,2,9.049518820536033
102,traversed,2,9.012936789868629
204,elect,2,9.059562796512054
12,undergo,2,9.062565756016657
66,rag,2,9.035559024149478
243,arise,1,10.011930405689514
50,Worse,1,10.050685215324757
74,Bermoothes,1,9.95677746763411
77,Match,1,10.021497315156422
168,justness,1,10.042398613873345
176,upside,1,10.047572731191849
130,bravura,1,10.035533410616692
178,balanced,1,10.030821329820915
161,Meanwhile,1,10.02999877359154
129,operatic,1,10.021497315156422
84,vintage,1,10.010740926397618
30,geese,1,10.050676766579652
167,spares,1,10.015518942428743
149,Amiable,1,10.03232813260219
221,whips,1,10.050626073069967
69,untasted,1,10.004525817990528
182,feat,1,10.021281764265861
